Event,Tox_type,Dom_type,Host_type,Coeff,Coeff_type
49,Min,domain3,Species,0,Simpson
49,Min,domain3,Orders,0.333333333333333,Jaccard
49,Min,domain3,Species,0,Jaccard
49,Maj,domain3,Orders,1,Simpson
49,Maj,domain3,Species,1,Simpson
49,Maj,domain3,Orders,0.333333333333333,Jaccard
49,Maj,domain3,Species,0.1,Jaccard
51,Min,domain3,Orders,1,Simpson
51,Min,domain3,Species,1,Simpson
51,Min,domain3,Orders,0.333333333333333,Jaccard
51,Min,domain3,Species,0.15,Jaccard
51,Maj,domain3,Orders,1,Simpson
51,Maj,domain3,Species,0.75,Simpson
51,Maj,domain3,Orders,0.666666666666667,Jaccard
51,Maj,domain3,Species,0.142857142857143,Jaccard
52,Min,domain3,Orders,1,Simpson
52,Min,domain3,Species,1,Simpson
52,Min,domain3,Orders,1,Jaccard
52,Min,domain3,Species,0.923076923076923,Jaccard
53,Maj,domain3,Orders,1,Simpson
53,Maj,domain3,Species,1,Simpson
53,Maj,domain3,Orders,0.2,Jaccard
53,Maj,domain3,Species,0.037878787878788,Jaccard
56,Maj,domain1,Orders,1,Simpson
56,Maj,domain1,Species,1,Simpson
56,Maj,domain1,Orders,1,Jaccard
56,Maj,domain1,Species,0.15,Jaccard
62,Min,domain1,Orders,1,Simpson
62,Min,domain1,Species,1,Simpson
62,Min,domain1,Orders,1,Jaccard
62,Min,domain1,Species,1,Jaccard
62,Maj,domain1,Orders,1,Simpson
62,Maj,domain1,Species,1,Simpson
62,Maj,domain1,Orders,1,Jaccard
62,Maj,domain1,Species,1,Jaccard
71,Min,domain2,Orders,0,Simpson
71,Min,domain2,Species,0,Simpson
71,Min,domain2,Orders,0,Jaccard
71,Min,domain2,Species,0,Jaccard
71,Maj,domain2,Orders,1,Simpson
71,Maj,domain2,Species,1,Simpson
71,Maj,domain2,Orders,0.2,Jaccard
71,Maj,domain2,Species,0.037878787878788,Jaccard
73,Min,domain3,Orders,1,Simpson
73,Min,domain3,Species,1,Simpson
73,Min,domain3,Orders,1,Jaccard
73,Min,domain3,Species,1,Jaccard
78,Min,domain1,Orders,1,Simpson
78,Min,domain1,Species,0,Simpson
78,Min,domain1,Orders,0.333333333333333,Jaccard
78,Min,domain1,Species,0,Jaccard
84,Min,domain1,Orders,1,Simpson
84,Min,domain1,Species,0.4,Simpson
84,Min,domain1,Orders,0.6,Jaccard
84,Min,domain1,Species,0.055555555555556,Jaccard
87,Min,domain1,Orders,1,Simpson
87,Min,domain1,Species,1,Simpson
87,Min,domain1,Orders,1,Jaccard
87,Min,domain1,Species,0.992481203007519,Jaccard
87,Maj,domain1,Orders,1,Simpson
87,Maj,domain1,Species,1,Simpson
87,Maj,domain1,Orders,1,Jaccard
87,Maj,domain1,Species,1,Jaccard
96,Min,domain1,Orders,1,Simpson
96,Min,domain1,Species,0.666666666666667,Simpson
96,Min,domain1,Orders,0.5,Jaccard
96,Min,domain1,Species,0.333333333333333,Jaccard
96,Maj,domain1,Orders,0,Simpson
96,Maj,domain1,Species,0,Simpson
96,Maj,domain1,Orders,0,Jaccard
96,Maj,domain1,Species,0,Jaccard
98,Min,domain3,Orders,1,Simpson
98,Min,domain3,Species,0.2,Simpson
98,Min,domain3,Orders,0.5,Jaccard
98,Min,domain3,Species,0.066666666666667,Jaccard
98,Maj,domain3,Orders,1,Simpson
98,Maj,domain3,Species,1,Simpson
98,Maj,domain3,Orders,1,Jaccard
98,Maj,domain3,Species,0.272727272727273,Jaccard
104,Min,domain3,Orders,1,Simpson
104,Min,domain3,Species,1,Simpson
104,Min,domain3,Orders,1,Jaccard
104,Min,domain3,Species,1,Jaccard
107,Min,domain2,Orders,1,Simpson
107,Min,domain2,Species,0.4,Simpson
107,Min,domain2,Orders,0.333333333333333,Jaccard
107,Min,domain2,Species,0.2,Jaccard
109,Min,domain3,Orders,1,Simpson
109,Min,domain3,Species,1,Simpson
109,Min,domain3,Orders,0.75,Jaccard
109,Min,domain3,Species,0.857142857142857,Jaccard
109,Maj,domain3,Orders,1,Simpson
109,Maj,domain3,Species,0,Simpson
109,Maj,domain3,Orders,0.333333333333333,Jaccard
109,Maj,domain3,Species,0,Jaccard
113,Min,domain3,Orders,0.5,Simpson
113,Min,domain3,Species,0.666666666666667,Simpson
113,Min,domain3,Orders,0.333333333333333,Jaccard
113,Min,domain3,Species,0.086956521739131,Jaccard
119,Min,domain1,Orders,1,Simpson
119,Min,domain1,Species,0.5,Simpson
119,Min,domain1,Orders,0.5,Jaccard
119,Min,domain1,Species,0.111111111111111,Jaccard
119,Maj,domain1,Orders,1,Simpson
119,Maj,domain1,Species,0.5,Simpson
119,Maj,domain1,Orders,0.5,Jaccard
119,Maj,domain1,Species,0.111111111111111,Jaccard
