ID,Type,Mode,Same_flag,Recs,Rec_hosts,Mins,Min_hots,Majs,Maj_hosts
,,,,,,,,,Plutella xylostella (Lepidoptera)
87,domain1,Rank4,Different,BT_Cry1Bj1,Anticarsia gemmatalis (Lepidoptera),BT_Cry1Ba1,Acanthoscelides obtectus  (Coleoptera),BT_Cry1Bb1,Manduca sexta (Lepidoptera)
,,,,,Chrysodeixis includens (Lepidoptera),,Choristoneura fumiferana (Lepidoptera),,Spodoptera frugiperda (Lepidoptera)
,,,,,Ostrinia nubilalis (Lepidoptera),,Chrysomela scripta (Coleoptera),,
,,,,BT_Cry1Be1,,,Manduca sexta (Lepidoptera),,
,,,,,,,Musca domestica (Diptera),,
,,,,,,,Plutella xylostella (Lepidoptera),,
,,,,,,,Xylotrechus arvicola (Coleoptera),,
,,,,,,BT_Cry1Bf1,Heliothis virescens (Lepidoptera),,
,,,,,,,Ostrinia nubilalis (Lepidoptera),,
,,,,,,,Sesamia nonagrioides (Lepidoptera),,
95,domain1,Rank4,Different,BT_Cry2Am1,Aedes aegypti (Diptera),BT_Cry2Al1,Helicoverpa armigera (Lepidoptera),BT_Cry2Ag1,Aedes aegypti (Diptera)
,,,,,,,Spodoptera litura (Lepidoptera),,Pieris rapae (Lepidoptera)
,,,,,,,,BT_Cry2Ab15,
98,domain3,Rank4,Same,BT_Cry3Bb1,Diabrotica undecimpunctata howardi (Coleoptera),BT_Cry8Da1,Anomala cuprea (Coleoptera),BT_Cry3Ca1,Cylas brunneus (Coleoptera)
,,,,,Leptinotarsa decemlineata (Coleoptera),,,,Cylas puncticollis (Coleoptera)
,,,,BT_Cry3Ba1,Cyclocephala borealis (Coleoptera),,,,Leptinotarsa decemlineata (Coleoptera)
,,,,,Cyclocephala pasadenae (Coleoptera),,,,
109,domain3,Rank4,Different,NOV_Cry69Ab1_58.0_PER42111.1,Euschistus servus (Hemiptera),BT_Cry69Aa1,Aedes aegypti (Diptera),,
,,,,,Nezara viridula (Hemiptera),,Culex quinquefasciatus (Diptera),,
,,,,,,,Helicoverpa armigera (Lepidoptera),,
,,,,,,,Spodoptera exigua (Lepidoptera),,
,,,,,,BT_Cry69Ab1,,,
119,domain1,Rank4,Same,BT_Cry14Ab1,Caenorhabditis elegans (Nematoda),,,BT_Cry14Aa1,Bursaphelenchus xylophilus (Nematoda)
,,,,,Heterodera glycines (Nematoda),,,,Panagrellus redivivus (Nematoda)
