Group,Strain.Toxin,Host_type,num
Rank3,BT_Cry29Aa,Orders,1
Rank3,BT_Cry29Aa,Species,1
Rank3,BT_Cry2Aa,Orders,3
Rank3,BT_Cry2Aa,Species,43
Rank3,BT_Cry2Ab,Orders,2
Rank3,BT_Cry2Ab,Species,25
Rank3,BT_Cry2Ac,Orders,2
Rank3,BT_Cry2Ac,Species,11
Rank3,BT_Cry2Ad,Orders,1
Rank3,BT_Cry2Ad,Species,1
Rank3,BT_Cry2Ae,Orders,1
Rank3,BT_Cry2Ae,Species,6
Rank3,BT_Cry2Af,Orders,1
Rank3,BT_Cry2Af,Species,1
Rank3,BT_Cry2Af2,Orders,1
Rank3,BT_Cry2Af2,Species,1
Rank3,BT_Cry2Ag,Orders,2
Rank3,BT_Cry2Ag,Species,2
Rank3,BT_Cry2Ah,Orders,1
Rank3,BT_Cry2Ah,Species,4
Rank3,BT_Cry2Ak,Orders,1
Rank3,BT_Cry2Ak,Species,5
Rank3,BT_Cry2Al,Orders,1
Rank3,BT_Cry2Al,Species,2
Rank3,BT_Cry2Am,Orders,1
Rank3,BT_Cry2Am,Species,1
Rank3,BT_Cry2Ba,Orders,1
Rank3,BT_Cry2Ba,Species,4
Rank3,BT_Cry30Aa,Orders,1
Rank3,BT_Cry30Aa,Species,1
Rank3,BT_Cry30Fa,Orders,2
Rank3,BT_Cry30Fa,Species,4
Rank3,BT_Cry30Ga,Orders,2
Rank3,BT_Cry30Ga,Species,2
Rank3,BT_Cry31Aa,Orders,1
Rank3,BT_Cry31Aa,Species,1
Rank3,BT_Cry31Ab,Orders,1
Rank3,BT_Cry31Ab,Species,1
Rank3,BT_Cry31Ac,Orders,1
Rank3,BT_Cry31Ac,Species,1
Rank3,BT_Cry31Ad,Orders,1
Rank3,BT_Cry31Ad,Species,1
Rank3,BT_Cry32Aa,Orders,1
Rank3,BT_Cry32Aa,Species,1
Rank3,BT_Cry32Ba,Orders,1
Rank3,BT_Cry32Ba,Species,1
Rank3,BT_Cry32Ca,Orders,1
Rank3,BT_Cry32Ca,Species,1
Rank3,BT_Cry32Da,Orders,1
Rank3,BT_Cry32Da,Species,1
Rank3,BT_Cry32Eb,Orders,1
Rank3,BT_Cry32Eb,Species,1
Rank3,BT_Cry32Ha,Orders,1
Rank3,BT_Cry32Ha,Species,1
Rank3,BT_Cry32Hb,Orders,1
Rank3,BT_Cry32Hb,Species,2
Rank3,BT_Cry32Sa,Orders,1
Rank3,BT_Cry32Sa,Species,1
Rank3,BT_Cry39Aa,Orders,1
Rank3,BT_Cry39Aa,Species,2
Rank3,BT_Cry3Aa,Orders,3
Rank3,BT_Cry3Aa,Species,31
Rank3,BT_Cry3Aa ,Orders,1
Rank3,BT_Cry3Aa ,Species,1
Rank3,BT_Cry3Ba,Orders,1
Rank3,BT_Cry3Ba,Species,9
Rank3,BT_Cry3Bb,Orders,1
Rank3,BT_Cry3Bb,Species,6
Rank3,BT_Cry3Bb ,Orders,1
Rank3,BT_Cry3Bb ,Species,1
Rank3,BT_Cry3Ca,Orders,1
Rank3,BT_Cry3Ca,Species,3
Rank3,BT_Cry40Da,Orders,1
Rank3,BT_Cry40Da,Species,1
Rank3,BT_Cry41Aa,Orders,1
Rank3,BT_Cry41Aa,Species,1
Rank3,BT_Cry41Ab,Orders,2
Rank3,BT_Cry41Ab,Species,2
Rank3,BT_Cry42Aa,Orders,1
Rank3,BT_Cry42Aa,Species,1
Rank3,BT_Cry43Aa,Orders,1
Rank3,BT_Cry43Aa,Species,1
Rank3,BT_Cry43Ba,Orders,1
Rank3,BT_Cry43Ba,Species,1
Rank3,BT_Cry43Ca,Orders,2
Rank3,BT_Cry43Ca,Species,2
Rank3,BT_Cry43Cb,Orders,2
Rank3,BT_Cry43Cb,Species,3
Rank3,BT_Cry44Aa,Orders,1
Rank3,BT_Cry44Aa,Species,4
Rank3,BT_Cry47Aa,Orders,1
Rank3,BT_Cry47Aa,Species,1
Rank3,BT_Cry48Aa,Orders,1
Rank3,BT_Cry48Aa,Species,1
Rank3,BT_Cry4Aa,Orders,2
Rank3,BT_Cry4Aa,Species,8
Rank3,BT_Cry4Ba,Orders,1
Rank3,BT_Cry4Ba,Species,10
Rank3,BT_Cry4Cb,Orders,2
Rank3,BT_Cry4Cb,Species,4
Rank3,BT_Cry4Cc,Orders,2
Rank3,BT_Cry4Cc,Species,3
Rank3,BT_Cry50Ba,Orders,1
Rank3,BT_Cry50Ba,Species,1
Rank3,BT_Cry52Ba,Orders,1
Rank3,BT_Cry52Ba,Species,1
Rank3,BT_Cry52Ca,Orders,1
Rank3,BT_Cry52Ca,Species,1
Rank3,BT_Cry53Ab,Orders,2
Rank3,BT_Cry53Ab,Species,3
Rank3,BT_Cry54Aa,Orders,2
Rank3,BT_Cry54Aa,Species,5
Rank3,BT_Cry54Ab,Orders,1
Rank3,BT_Cry54Ab,Species,1
Rank3,BT_Cry55Aa,Orders,1
Rank3,BT_Cry55Aa,Species,2
Rank3,BT_Cry56Aa,Orders,2
Rank3,BT_Cry56Aa,Species,3
Rank3,BT_Cry57Ab,Orders,1
Rank3,BT_Cry57Ab,Species,2
Rank3,BT_Cry59Ba,Orders,2
Rank3,BT_Cry59Ba,Species,2
Rank3,BT_Cry5Aa,Orders,2
Rank3,BT_Cry5Aa,Species,7
Rank3,BT_Cry5Ab,Orders,2
Rank3,BT_Cry5Ab,Species,3
Rank3,BT_Cry5Ac,Orders,1
Rank3,BT_Cry5Ac,Species,1
Rank3,BT_Cry5Ba,Orders,1
Rank3,BT_Cry5Ba,Species,15
Rank3,BT_Cry5Ca,Orders,1
Rank3,BT_Cry5Ca,Species,2
Rank3,BT_Cry5Da,Orders,1
Rank3,BT_Cry5Da,Species,2
Rank3,BT_Cry62Aa,Orders,1
Rank3,BT_Cry62Aa,Species,1
Rank3,BT_Cry63Aa,Orders,1
Rank3,BT_Cry63Aa,Species,1
Rank3,BT_Cry65Aa,Orders,1
Rank3,BT_Cry65Aa,Species,1
Rank3,BT_Cry68Aa,Orders,1
Rank3,BT_Cry68Aa,Species,2
Rank3,BT_Cry69Aa,Orders,2
Rank3,BT_Cry69Aa,Species,4
Rank3,BT_Cry70Aa,Orders,1
Rank3,BT_Cry70Aa,Species,1
Rank3,BT_Cry70Ba,Orders,1
Rank3,BT_Cry70Ba,Species,1
Rank3,BT_Cry71Aa,Orders,1
Rank3,BT_Cry71Aa,Species,1
Rank3,BT_Cry72Aa,Orders,1
Rank3,BT_Cry72Aa,Species,1
Rank3,BT_Cry73Ba,Orders,1
Rank3,BT_Cry73Ba,Species,1
Rank3,BT_Cry7Aa,Orders,1
Rank3,BT_Cry7Aa,Species,3
Rank3,BT_Cry7Ab,Orders,1
Rank3,BT_Cry7Ab,Species,5
Rank3,BT_Cry7Ba,Orders,1
Rank3,BT_Cry7Ba,Species,1
Rank3,BT_Cry7Ca,Orders,1
Rank3,BT_Cry7Ca,Species,2
Rank3,BT_Cry7Gb,Orders,1
Rank3,BT_Cry7Gb,Species,2
Rank3,BT_Cry8Aa,Orders,1
Rank3,BT_Cry8Aa,Species,2
Rank3,BT_Cry8Ab,Orders,1
Rank3,BT_Cry8Ab,Species,2
Rank3,BT_Cry8Ba,Orders,1
Rank3,BT_Cry8Ba,Species,5
Rank3,BT_Cry8Bb,Orders,1
Rank3,BT_Cry8Bb,Species,3
Rank3,BT_Cry8Bc,Orders,1
Rank3,BT_Cry8Bc,Species,3
Rank3,BT_Cry8Ca,Orders,1
Rank3,BT_Cry8Ca,Species,7
Rank3,BT_Cry8Da,Orders,2
Rank3,BT_Cry8Da,Species,5
Rank3,BT_Cry8Db,Orders,1
Rank3,BT_Cry8Db,Species,3
