ID,Domain,Flank_type,trans_ident,adj_ident,peak
84,domain1,flank1,54.2199488491049,51.0869565217391,62.5
87,domain1,flank1,73.5251798561151,69.4271092358783,75
95,domain1,flank1,83.3370832020879,73.240811274043,95.8333333333333
96,domain1,flank1,69.0442225392297,65.4891304347826,76
34,domain1,flank1,56.551724137931,56.993006993007,70.8333333333333
38,domain1,flank1,53.543655400193,51.2747183568865,74.4791666666667
47,domain1,flank1,82.6498422712934,69.9152542372881,100
62,domain1,flank1,74.2774566473989,66.2807525325615,95.8333333333333
71,domain2,flank1,54.1799891409266,47.9701783203578,64
119,domain1,flank1,80.8882907133244,72.1379310344828,100
23,domain3,flank2,51.6812183592399,66.3176929665937,70.7602339181287
29,domain3,flank2,50.7326229817968,50.3305540766931,66.3742690058479
37,domain3,flank2,51.4071294559099,50.379746835443,80.7017543859649
39,domain3,flank2,51.6812183592399,66.3176929665937,71.3450292397661
44,domain3,flank2,56.5742285237698,52.5242588009933,68.2539682539683
49,domain3,flank2,52.4680073126143,57.0588235294118,70.2127659574468
51,domain3,flank2,52.4500907441016,50.5214368482039,52.3809523809524
60,domain3,flank2,53.3678756476684,55.3066037735849,80.9523809523809
0,domain3,flank2,48.9655172413793,50.9225092250922,64.9122807017544
2,domain3,flank2,52.4932969289998,49.9839790501408,87.0967741935484
3,domain3,flank2,55.3072625698324,51.2851897184823,75.4385964912281
6,domain3,flank2,54.2857142857143,50.5428226779252,78.5714285714286
10,domain3,flank2,52.4590163934426,52.0446096654275,90.3225806451613
13,domain3,flank2,62.0512820512821,78.4810126582278,94.7368421052632
14,domain3,flank2,53.7245154425157,52.0450928586879,64.2105263157895
17,domain3,flank2,57.3314798127431,51.027397260274,79.5321637426901
19,domain3,flank2,54.3421630782751,49.3605359317905,58.1560283687943
24,domain3,flank2,57.1428571428571,58.1749049429658,85.9649122807018
27,domain3,flank2,52.4861878453039,54.0436456996149,76.1904761904762
28,domain3,flank2,49.9957549172209,50.7109004739336,61.9047619047619
32,domain3,flank2,75.1869874828129,72.3427902198774,76.0233918128655
36,domain3,flank2,55.3098123104423,49.0470139771283,77.1929824561403
52,domain3,flank2,54.5346559708262,55.7233218526976,83.8709677419355
71,domain2,flank2,51.4071294559099,47.9701783203578,64
98,domain3,flank2,54.7842401500938,49.4868871151653,68.4210526315789
109,domain3,flank2,54.239459933788,52.9095359552411,86.5079365079365
112,domain3,flank2,51.7127087798689,50.5387241914855,57.3099415204678
