Group,Accession,Num,Dataset,Mode
par,BTC002,1,Strains,soft
par,Btc005,1,Strains,soft
par,BtC008,1,Strains,soft
par,BtG7,1,Strains,soft
par,BTH-13,1,Strains,soft
par,BtI109P,1,Strains,soft
par,BtMC28,7,Strains,soft
par,Bts,2,Strains,soft
par,BtS02072BG,1,Strains,soft
par,BtS2491Ab,1,Strains,soft
par,BTy41,6,Strains,soft
par,Buibui,2,Strains,soft
par,Bun1-14,4,Strains,soft
par,BUPM109,1,Strains,soft
par,C-33,2,Strains,soft
par,c002,1,Strains,soft
par,C12,1,Strains,soft
par,C15,5,Strains,soft
par,C1Ia148,1,Strains,soft
par,C2Ab118,1,Strains,soft
par,C2Ab148,1,Strains,soft
par,C2Ab86,1,Strains,soft
par,CH_65,5,Strains,soft
par,CH_684,3,Strains,soft
par,CH_69,3,Strains,soft
par,CH_692,5,Strains,soft
par,CH_696,5,Strains,soft
par,CH_698,3,Strains,soft
par,CH_709,5,Strains,soft
par,CH_72,6,Strains,soft
par,CH_722,3,Strains,soft
par,CH_733,5,Strains,soft
par,CH_746,5,Strains,soft
par,CH_748,5,Strains,soft
par,CH_81,3,Strains,soft
par,CH417_13T,1,Strains,soft
par,CH426a_13T,1,Strains,soft
par,CH460b_14D,1,Strains,soft
par,CIB 163-131,3,Strains,soft
par,CMBL-BT1,2,Strains,soft
par,CMBL-BT2,2,Strains,soft
par,CMBL-BT3,1,Strains,soft
par,CMCC P0011,2,Strains,soft
par,CMCC P0021,2,Strains,soft
par,CPB012,1,Strains,soft
par,CT-43,5,Strains,soft
par,CVUAS2492,5,Strains,soft
par,CVUAS9659,5,Strains,soft
par,CVUAS9660,5,Strains,soft
par,CY29,1,Strains,soft
par,CYZ-4,1,Strains,soft
par,D1,1,Strains,soft
par,DBG15,3,Strains,soft
par,DE0161,3,Strains,soft
par,DE0589,3,Strains,soft
par,DL,1,Strains,soft
par,Dongbei 66,1,Strains,soft
par,DOR BT-1,1,Strains,soft
par,DP1019,2,Strains,soft
par,DS415,1,Strains,soft
par,E-1A,1,Strains,soft
par,E-1B,1,Strains,soft
par,E05-20a,1,Strains,soft
par,EG 5847,2,Strains,soft
par,EG5092,1,Strains,soft
par,FB,4,Strains,soft
par,FB-32,1,Strains,soft
par,FCC41,5,Strains,soft
par,FCD114,2,Strains,soft
par,FDAARGOS_800,2,Strains,soft
par,FDAARGOS_801,1,Strains,soft
par,FH21,4,Strains,soft
par,FU-2-7,1,Strains,soft
par,FY-2,1,Strains,soft
par,G03,5,Strains,soft
par,G10-01A,1,Strains,soft
par,G25-44,3,Strains,soft
par,G25-46,2,Strains,soft
par,G25-47,1,Strains,soft
par,G25-76,1,Strains,soft
par,G25-85,1,Strains,soft
par,G25-93,10,Strains,soft
par,G25-96,5,Strains,soft
par,G25-97,11,Strains,soft
par,G7-1,2,Strains,soft
par,g9,1,Strains,soft
par,GC-91,6,Strains,soft
par,GCA_000161515.1,2,Assemblies,soft
par,GCA_000161535.1,1,Assemblies,soft
par,GCA_000161615.1,2,Assemblies,soft
par,GCA_000161715.1,9,Assemblies,soft
par,GCA_000193355.1,5,Assemblies,soft
par,GCA_000292455.1,1,Assemblies,soft
par,GCA_000300475.1,8,Assemblies,soft
par,GCA_000341665.1,6,Assemblies,soft
par,GCA_000387405.2,5,Assemblies,soft
par,GCA_000468975.2,4,Assemblies,soft
par,GCA_000468995.3,6,Assemblies,soft
par,GCA_000600315.1,12,Assemblies,soft
par,GCA_000688795.1,5,Assemblies,soft
par,GCA_000710255.1,5,Assemblies,soft
par,GCA_000717535.1,6,Assemblies,soft
par,GCA_000747545.1,5,Assemblies,soft
par,GCA_000803665.1,7,Assemblies,soft
par,GCA_000833655.1,2,Assemblies,soft
par,GCA_000835235.1,6,Assemblies,soft
par,GCA_000969665.1,2,Assemblies,soft
par,GCA_001017635.1,5,Assemblies,soft
par,GCA_001182785.1,9,Assemblies,soft
par,GCA_001420855.1,2,Assemblies,soft
par,GCA_001548175.1,3,Assemblies,soft
par,GCA_001595725.1,2,Assemblies,soft
par,GCA_001598095.1,9,Assemblies,soft
par,GCA_001640965.1,2,Assemblies,soft
par,GCA_001685565.1,3,Assemblies,soft
par,GCA_001880115.1,4,Assemblies,soft
par,GCA_001880125.1,3,Assemblies,soft
par,GCA_001968805.1,3,Assemblies,soft
par,GCA_002025105.1,3,Assemblies,soft
par,GCA_002119445.1,2,Assemblies,soft
par,GCA_002146315.1,12,Assemblies,soft
par,GCA_002146335.1,1,Assemblies,soft
par,GCA_002146405.1,6,Assemblies,soft
par,GCA_002146425.1,5,Assemblies,soft
par,GCA_002146445.1,4,Assemblies,soft
par,GCA_002146505.1,2,Assemblies,soft
par,GCA_002146545.1,4,Assemblies,soft
par,GCA_002146595.1,4,Assemblies,soft
par,GCA_002146605.1,2,Assemblies,soft
par,GCA_002146655.1,2,Assemblies,soft
par,GCA_002146755.1,3,Assemblies,soft
par,GCA_002146815.1,2,Assemblies,soft
par,GCA_002146845.1,1,Assemblies,soft
par,GCA_002146945.1,1,Assemblies,soft
par,GCA_002147025.1,2,Assemblies,soft
par,GCA_002147055.1,3,Assemblies,soft
par,GCA_002147085.1,12,Assemblies,soft
par,GCA_002147105.1,12,Assemblies,soft
par,GCA_002147155.1,5,Assemblies,soft
par,GCA_002147165.1,4,Assemblies,soft
par,GCA_002147185.1,5,Assemblies,soft
par,GCA_002147235.1,4,Assemblies,soft
par,GCA_002147245.1,5,Assemblies,soft
par,GCA_002147255.1,4,Assemblies,soft
par,GCA_002147315.1,9,Assemblies,soft
par,GCA_002147325.1,7,Assemblies,soft
par,GCA_002147375.1,12,Assemblies,soft
par,GCA_002147435.1,4,Assemblies,soft
par,GCA_002147535.1,4,Assemblies,soft
par,GCA_002147555.1,5,Assemblies,soft
par,GCA_002147565.1,7,Assemblies,soft
par,GCA_002147575.1,6,Assemblies,soft
par,GCA_002147605.1,6,Assemblies,soft
par,GCA_002147635.1,4,Assemblies,soft
