Component,Host_type,Num_sp,Comp_type,Num_strains,Num_hosts,Num_events,Num_tox_types
74,Unknown,1,All,1,0,1,1
74,Unknown,1,Rec,1,0,1,1
75,Diptera,15,All,3,1,1,3
75,Diptera,15,Rec,3,1,1,3
76,Lepidoptera,1,All,1,1,1,1
76,Lepidoptera,1,Rec,1,1,1,1
77,Unknown,1,All,1,0,0,1
78,Nematoda,1,All,1,1,0,1
79,Coleoptera,1,All,1,1,0,1
80,Nematoda,1,All,2,1,0,1
81,Diptera,4,All,1,1,0,2
82,Lepidoptera,5,All,5,2,1,4
82,Diptera,6,All,5,2,1,4
82,Lepidoptera,5,Rec,5,2,1,4
82,Diptera,6,Rec,5,2,1,4
83,Unknown,1,All,3,0,0,1
84,Diptera,1,All,1,2,0,1
84,Lepidoptera,1,All,1,2,0,1
85,Unknown,1,All,1,0,2,1
85,Unknown,1,Rec,1,0,2,1
86,Lepidoptera,5,All,1,1,0,1
87,Hemiptera,3,All,4,1,3,4
87,Hemiptera,3,Rec,4,1,3,4
88,Lepidoptera,1,All,1,1,0,1
89,Human,1,All,1,1,1,2
89,Human,1,Rec,1,1,1,2
90,Unknown,1,All,2,0,1,2
90,Unknown,1,Rec,2,0,1,2
91,Unknown,1,All,1,0,2,1
91,Unknown,1,Rec,1,0,2,1
92,Coleoptera,3,All,1,1,0,1
93,Lepidoptera,3,All,1,1,2,1
93,Lepidoptera,3,Rec,1,1,2,1
94,Unknown,1,All,1,0,0,1
95,Coleoptera,14,All,6,2,2,3
95,Lepidoptera,3,All,6,2,2,3
95,Coleoptera,14,Rec,6,2,2,3
95,Lepidoptera,3,Rec,6,2,2,3
96,Coleoptera,3,All,1,1,0,1
97,Unknown,1,All,1,0,0,1
98,Diptera,2,All,1,1,0,1
99,Lepidoptera,2,All,2,1,0,1
100,Coleoptera,12,All,2,1,1,1
100,Coleoptera,12,Rec,2,1,1,1
101,Unknown,1,All,1,0,1,1
101,Unknown,1,Rec,1,0,1,1
102,Coleoptera,1,All,1,2,0,1
102,Lepidoptera,2,All,1,2,0,1
103,Coleoptera,2,All,1,1,1,1
103,Coleoptera,2,Rec,1,1,1,1
104,Unknown,1,All,3,0,0,1
105,Coleoptera,1,All,1,1,1,1
105,Coleoptera,1,Rec,1,1,1,1
106,Lepidoptera,3,All,1,1,1,1
106,Lepidoptera,3,Rec,1,1,1,1
107,Unknown,1,All,1,0,1,1
107,Unknown,1,Rec,1,0,1,1
108,Lepidoptera,5,All,1,1,1,1
108,Lepidoptera,5,Rec,1,1,1,1
109,Lepidoptera,3,All,1,1,1,1
109,Lepidoptera,3,Rec,1,1,1,1
110,Coleoptera,3,All,1,4,0,1
110,Diptera,5,All,1,4,0,1
110,Lepidoptera,6,All,1,4,0,1
110,Nematoda,1,All,1,4,0,1
111,Unknown,1,All,1,0,1,1
111,Unknown,1,Rec,1,0,1,1
112,Coleoptera,1,All,1,2,0,1
112,Lepidoptera,1,All,1,2,0,1
113,Coleoptera,2,All,1,1,0,1
114,Unknown,1,All,1,0,0,1
115,Nematoda,2,All,1,1,1,1
115,Nematoda,2,Rec,1,1,1,1
116,Unknown,1,All,1,0,0,1
117,Lepidoptera,7,All,1,1,1,1
117,Lepidoptera,7,Rec,1,1,1,1
118,Unknown,1,All,2,0,0,1
119,Unknown,1,All,2,0,0,1
120,Unknown,1,All,1,0,0,1
121,Unknown,1,All,1,0,0,1
122,Unknown,1,All,1,0,0,1
123,Unknown,1,All,1,0,0,1
124,Unknown,1,All,2,0,0,1
125,Unknown,1,All,1,0,1,1
125,Unknown,1,Rec,1,0,1,1
126,Diptera,1,All,1,2,1,1
126,Nematoda,1,All,1,2,1,1
126,Diptera,1,Rec,1,2,1,1
126,Nematoda,1,Rec,1,2,1,1
127,Lepidoptera,2,All,1,1,1,1
127,Lepidoptera,2,Rec,1,1,1,1
128,Unknown,1,All,1,0,1,1
128,Unknown,1,Rec,1,0,1,1
129,Unknown,1,All,1,0,0,1
130,Coleoptera,2,All,1,1,0,1
131,Unknown,1,All,2,0,0,1
132,Diptera,2,All,1,1,6,4
132,Diptera,2,Rec,1,1,6,4
133,Unknown,1,All,4,0,0,1
134,Unknown,1,All,1,0,0,1
135,Unknown,1,All,2,0,0,1
136,Unknown,1,All,1,0,0,1
137,Unknown,1,All,1,0,0,1
138,Orthoptera,1,All,1,1,3,1
138,Orthoptera,1,Rec,1,1,3,1
139,Unknown,1,All,3,0,0,1
140,Lepidoptera,2,All,2,1,0,1
141,Unknown,1,All,1,0,0,1
142,Lepidoptera,2,All,1,1,0,1
143,Coleoptera,3,All,1,1,1,1
143,Coleoptera,3,Rec,1,1,1,1
144,Lepidoptera,3,All,1,1,2,1
144,Lepidoptera,3,Rec,1,1,2,1
145,Diptera,3,All,1,1,0,2
146,Lepidoptera,13,All,2,1,2,1
146,Lepidoptera,13,Rec,2,1,2,1
147,Unknown,1,All,1,0,1,1
147,Unknown,1,Rec,1,0,1,1
148,Coleoptera,3,All,1,1,0,2
149,Lepidoptera,3,All,1,1,1,1
149,Lepidoptera,3,Rec,1,1,1,1
150,Unknown,1,All,1,0,0,1
