Host_sp	Host_order
Rhagoletis cerasi	Diptera
Rhyzopertha dominica 	Coleoptera
Samia ricini	Lepidoptera
Scirpophaga incertulas	Lepidoptera
Sesamia calamistis	Lepidoptera
Sesamia cretica	Lepidoptera
Sesamia inferens	Lepidoptera
Sesamia nonagrioides	Lepidoptera
Simulium spp.	Diptera
Sitophilus oryzae	Coleoptera
Solenopsis invicta	Hymenoptera
Spilosoma virginica	Lepidoptera
Spodoptera exempta	Lepidoptera
Spodoptera exigua	Lepidoptera
Spodoptera frugiperda	Lepidoptera
Spodoptera littoralis	Lepidoptera
Spodoptera litura	Lepidoptera
Stomoxys calcitrans	Diptera
Tecia solanivora	Lepidoptera
Tenebrio molitor	Coleoptera
Thaumetopoea pityocampa	Lepidoptera
Tipula oleracea	Diptera
Tribolium castaneum	Coleoptera
Trichoplusia ni	Lepidoptera
Trichostrongylus colubriformis	Nematoda
Wiseana cervinata	Lepidoptera
Wiseana copularis	Lepidoptera
Wiseana jocosa	Lepidoptera
Xylotrechus arvicola	Coleoptera
