ID	Domain	Zone	break_flank	external	ident_dif	flank_type	Num_min	Num_maj	trans_ident	adj_ident	trans_gca	adj_gca	trans_gca_full	adj_gca_full
84	domain1	Zone2	0.524590163934426	0.618705035971223	-0.094114872036797	anomalous	1	1	54.2199488491049	51.0869565217391	155	106	345	361
87	domain1	Zone2	0.639344262295082	0.808153477218225	-0.168809214923143	anomalous	2	1	73.5251798561151	69.4271092358783	10	16	10	16
95	domain1	Zone2	0.885245901639344	0.920863309352518	-0.035617407713174	anomalous	1	2	83.3370832020879	73.240811274043	11	12	11	19
96	domain1	Zone2	0.672131147540984	0.705035971223022	-0.032904823682038	anomalous	1	1	69.0442225392297	65.4891304347826	3	8	3	8
34	domain1	Zone2	0.819672131147541	0.661870503597122	0.157801627550419	regular	1	1	56.551724137931	56.993006993007	7	3	7	4
38	domain1	Zone2	0.723360655737705	0.660071942446043	0.063288713291662	regular	7	1	53.543655400193	51.2747183568865	22	31	22	361
47	domain1	Zone2	0.950819672131147	0.892086330935252	0.058733341195895	regular	1	1	82.6498422712934	69.9152542372881	14	14	16	19
62	domain1	Zone2	0.967213114754098	0.784172661870504	0.183040452883594	regular	1	1	74.2774566473989	66.2807525325615	3	4	3	4
71	domain2	Zone2	0.497267759562842	0.460431654676259	0.036836104886583	regular	1	2	54.1799891409266	47.9701783203578	323	346	345	361
119	domain1	Zone2	0.934426229508197	0.863309352517986	0.071116876990211	regular	1	1	80.8882907133244	72.1379310344828	3	3	3	3
23	domain3	Zone3	0.420765027322404	0.52757793764988	-0.106812910327476	anomalous	2	1	51.6812183592399	66.3176929665937	327	218	355	361
29	domain3	Zone3	0.516393442622951	0.580335731414868	-0.063942288791917	anomalous	5	1	50.7326229817968	50.3305540766931	364	46	368	361
37	domain3	Zone3	0.540983606557377	0.568345323741007	-0.02736171718363	anomalous	1	1	51.4071294559099	50.379746835443	327	218	355	361
39	domain3	Zone3	0.453551912568306	0.513189448441247	-0.059637535872941	anomalous	2	1	51.6812183592399	66.3176929665937	327	218	355	361
44	domain3	Zone3	0.540983606557377	0.561151079136691	-0.020167472579314	anomalous	1	2	56.5742285237698	52.5242588009933	8	12	14	12
49	domain3	Zone3	0.524590163934426	0.553956834532374	-0.029366670597948	anomalous	1	1	52.4680073126143	57.0588235294118	80	22	355	361
51	domain3	Zone3	0.409836065573771	0.568345323741007	-0.158509258167236	anomalous	1	1	52.4500907441016	50.5214368482039	327	355	355	361
60	domain3	Zone3	0.540983606557377	0.690647482014389	-0.149663875457012	anomalous	1	1	53.3678756476684	55.3066037735849	20	11	355	361
0	domain3	Zone3	0.639344262295082	0.359712230215827	0.279632032079255	regular	1	1	48.9655172413793	50.9225092250922	125	118	355	361
2	domain3	Zone3	0.709836065573771	0.581294964028777	0.128541101544994	regular	9	1	52.4932969289998	49.9839790501408	56	37	355	37
3	domain3	Zone3	0.721311475409836	0.62589928057554	0.095412194834296	regular	1	1	55.3072625698324	51.2851897184823	11	368	11	368
6	domain3	Zone3	0.672131147540984	0.474820143884892	0.197311003656092	regular	1	1	54.2857142857143	50.5428226779252	59	31	355	361
10	domain3	Zone3	0.704918032786885	0.431654676258993	0.273263356527892	regular	1	1	52.4590163934426	52.0446096654275	114	368	355	368
13	domain3	Zone3	0.934426229508197	0.81294964028777	0.121476589220427	regular	1	1	62.0512820512821	78.4810126582278	368	3	368	3
14	domain3	Zone3	0.6	0.553956834532374	0.046043165467626	regular	4	1	53.7245154425157	52.0450928586879	10	81	355	361
17	domain3	Zone3	0.759562841530055	0.52757793764988	0.231984903880175	regular	2	1	57.3314798127431	51.027397260274	76	81	355	361
19	domain3	Zone3	0.612021857923497	0.45083932853717	0.161182529386327	regular	2	1	54.3421630782751	49.3605359317905	40	346	355	361
24	domain3	Zone3	0.786885245901639	0.633093525179856	0.153791720721783	regular	1	1	57.1428571428571	58.1749049429658	76	18	355	361
27	domain3	Zone3	0.704918032786885	0.546762589928058	0.158155442858827	regular	1	1	52.4861878453039	54.0436456996149	16	4	355	361
28	domain3	Zone3	0.551912568306011	0.41726618705036	0.134646381255651	regular	1	2	49.9957549172209	50.7109004739336	116	368	355	368
32	domain3	Zone3	0.710382513661202	0.609112709832134	0.101269803829068	regular	2	2	75.1869874828129	72.3427902198774	11	368	11	368
36	domain3	Zone3	0.590163934426229	0.484412470023981	0.105751464402248	regular	1	2	55.3098123104423	49.0470139771283	59	10	355	361
52	domain3	Zone3	0.647540983606557	0.539568345323741	0.107972638282816	regular	3	1	54.5346559708262	55.7233218526976	23	8	355	8
71	domain2	Zone3	0.573770491803279	0.393285371702638	0.180485120100641	regular	1	2	51.4071294559099	47.9701783203578	327	346	355	361
98	domain3	Zone3	0.704918032786885	0.611510791366906	0.093407241419979	regular	1	1	54.7842401500938	49.4868871151653	20	106	355	361
109	domain3	Zone3	0.655737704918033	0.52757793764988	0.128159767268153	regular	2	1	54.239459933788	52.9095359552411	5	5	5	5
112	domain3	Zone3	0.666666666666667	0.436450839328537	0.23021582733813	regular	2	1	51.7127087798689	50.5387241914855	11	368	355	368
