"ID"	"plot_factor"	"Ident"
0	"break_flank"	0.459016393442623
0	"external"	0.437185929648241
2	"break_flank"	0.695081967213115
2	"external"	0.530653266331658
3	"break_flank"	0.737704918032787
3	"external"	0.613065326633166
6	"break_flank"	0.639344262295082
6	"external"	0.472361809045226
8	"break_flank"	0.39344262295082
8	"external"	0.452261306532663
10	"break_flank"	0.557377049180328
10	"external"	0.469849246231156
13	"break_flank"	0.918032786885246
13	"external"	0.844221105527638
14	"break_flank"	0.550819672131148
14	"external"	0.485427135678392
17	"break_flank"	0.759562841530055
17	"external"	0.534338358458961
19	"break_flank"	0.612021857923497
19	"external"	0.425460636515913
23	"break_flank"	0.437158469945355
23	"external"	0.484087102177554
24	"break_flank"	0.770491803278688
24	"external"	0.693467336683417
27	"break_flank"	0.704918032786885
27	"external"	0.5678391959799
28	"break_flank"	0.508196721311475
28	"external"	0.363484087102178
29	"break_flank"	0.516393442622951
29	"external"	0.517587939698492
32	"break_flank"	0.725409836065574
32	"external"	0.634422110552764
34	"break_flank"	0.819672131147541
34	"external"	0.698492462311558
36	"break_flank"	0.573770491803279
36	"external"	0.539363484087102
37	"break_flank"	0.508196721311475
37	"external"	0.542713567839196
38	"break_flank"	0.706967213114754
38	"external"	0.66394472361809
39	"break_flank"	0.453551912568306
39	"external"	0.504187604690117
44	"break_flank"	0.540983606557377
44	"external"	0.554438860971524
47	"break_flank"	0.950819672131147
47	"external"	0.899497487437186
49	"break_flank"	0.524590163934426
49	"external"	0.537688442211055
51	"break_flank"	0.475409836065574
51	"external"	0.537688442211055
52	"break_flank"	0.639344262295082
52	"external"	0.575376884422111
60	"break_flank"	0.557377049180328
60	"external"	0.653266331658292
62	"break_flank"	0.926229508196721
62	"external"	0.804020100502513
71	"break_flank"	0.557377049180328
71	"external"	0.391122278056951
75	"break_flank"	0.650273224043716
75	"external"	0.536013400335008
84	"break_flank"	0.491803278688525
84	"external"	0.547738693467337
87	"break_flank"	0.639344262295082
87	"external"	0.850921273031826
95	"break_flank"	0.885245901639344
95	"external"	0.914572864321608
96	"break_flank"	0.688524590163934
96	"external"	0.728643216080402
98	"break_flank"	0.704918032786885
98	"external"	0.517587939698492
109	"break_flank"	0.639344262295082
109	"external"	0.512562814070352
112	"break_flank"	0.469945355191257
112	"external"	0.411222780569514
119	"break_flank"	0.934426229508197
119	"external"	0.869346733668342
