Strain/Toxin	Tox_type	Host_type	Host
BT_Cry2Ac7	Rank4	Orders	Lepidoptera
BT_Cry2Ae1	Rank4	Orders	Lepidoptera
BT_Cry2Ag1	Rank4	Orders	Lepidoptera
BT_Cry2Ag1	Rank4	Orders	Diptera
BT_Cry2Ah4	Rank4	Orders	Lepidoptera
BT_Cry2Ak1	Rank4	Orders	Lepidoptera
BT_Cry2Al1	Rank4	Orders	Lepidoptera
BT_Cry2Am1	Rank4	Orders	Diptera
BT_Cry2Ba1	Rank4	Orders	Lepidoptera
BT_Cry30Fa1	Rank4	Orders	Lepidoptera
BT_Cry30Fa1	Rank4	Orders	Diptera
BT_Cry30Ga1	Rank4	Orders	Lepidoptera
BT_Cry30Ga1	Rank4	Orders	Diptera
BT_Cry31Aa1	Rank4	Orders	Human
BT_Cry31Aa6	Rank4	Orders	Human
BT_Cry31Ab1	Rank4	Orders	Human
BT_Cry31Ac1	Rank4	Orders	Human
BT_Cry31Ad1	Rank4	Orders	Human
BT_Cry32Aa1	Rank4	Orders	Lepidoptera
BT_Cry32Eb1	Rank4	Orders	Nematoda
BT_Cry32Ha1	Rank4	Orders	Lepidoptera
BT_Cry32Hb1	Rank4	Orders	Lepidoptera
BT_Cry32Sa1	Rank4	Orders	Lepidoptera
BT_Cry39Aa1	Rank4	Orders	Diptera
BT_Cry3Aa10	Rank4	Orders	Coleoptera
BT_Cry3Aa11	Rank4	Orders	Coleoptera
BT_Cry3Aa1	Rank4	Orders	Coleoptera
BT_Cry3Aa8	Rank4	Orders	Coleoptera
BT_Cry3Ba1	Rank4	Orders	Coleoptera
BT_Cry3Ba2	Rank4	Orders	Coleoptera
BT_Cry3Bb1	Rank4	Orders	Coleoptera
BT_Cry3Bb3	Rank4	Orders	Coleoptera
BT_Cry3Ca1	Rank4	Orders	Coleoptera
BT_Cry40Da1	Rank4	Orders	Diptera
BT_Cry41Aa1	Rank4	Orders	Human
BT_Cry41Ab1	Rank4	Orders	Human
BT_Cry41Ab1	Rank4	Orders	Hemiptera
BT_Cry42Aa1	Rank4	Orders	Human
BT_Cry43Aa1	Rank4	Orders	Coleoptera
BT_Cry43Ba1	Rank4	Orders	Coleoptera
BT_Cry43Ca1	Rank4	Orders	Lepidoptera
BT_Cry43Ca1	Rank4	Orders	Coleoptera
BT_Cry43Cb1	Rank4	Orders	Lepidoptera
BT_Cry43Cb1	Rank4	Orders	Coleoptera
BT_Cry44Aa1	Rank4	Orders	Diptera
BT_Cry47Aa1	Rank4	Orders	Diptera
BT_Cry48Aa1	Rank4	Orders	Diptera
BT_Cry4Aa1	Rank4	Orders	Diptera
BT_Cry4Ba1	Rank4	Orders	Diptera
BT_Cry4Ba2	Rank4	Orders	Diptera
BT_Cry4Ba6	Rank4	Orders	Diptera
BT_Cry4Cb1	Rank4	Orders	Lepidoptera
BT_Cry4Cb1	Rank4	Orders	Diptera
BT_Cry4Cb2	Rank4	Orders	Lepidoptera
BT_Cry4Cb2	Rank4	Orders	Diptera
BT_Cry4Cb3	Rank4	Orders	Diptera
BT_Cry4Cc1	Rank4	Orders	Lepidoptera
BT_Cry4Cc1	Rank4	Orders	Diptera
BT_Cry52Ba1	Rank4	Orders	Diptera
BT_Cry52Ca1	Rank4	Orders	Lepidoptera
BT_Cry53Ab1	Rank4	Orders	Lepidoptera
BT_Cry53Ab1	Rank4	Orders	Diptera
BT_Cry54Aa1	Rank4	Orders	Lepidoptera
BT_Cry54Aa1	Rank4	Orders	Diptera
BT_Cry54Ab1	Rank4	Orders	Diptera
BT_Cry55Aa1	Rank4	Orders	Nematoda
BT_Cry56Aa1	Rank4	Orders	Lepidoptera
BT_Cry56Aa1	Rank4	Orders	Diptera
BT_Cry57Ab1	Rank4	Orders	Lepidoptera
BT_Cry59Ba1	Rank4	Orders	Lepidoptera
BT_Cry59Ba1	Rank4	Orders	Diptera
BT_Cry5Ba1	Rank4	Orders	Nematoda
BT_Cry5Ba2	Rank4	Orders	Nematoda
BT_Cry5Ba3	Rank4	Orders	Nematoda
BT_Cry5Ca1	Rank4	Orders	Nematoda
BT_Cry5Da1	Rank4	Orders	Nematoda
BT_Cry62Aa1	Rank4	Orders	Human
BT_Cry63Aa1	Rank4	Orders	Human
BT_Cry65Aa2	Rank4	Orders	Human
BT_Cry68Aa1	Rank4	Orders	Lepidoptera
BT_Cry69Aa1	Rank4	Orders	Lepidoptera
BT_Cry69Aa1	Rank4	Orders	Diptera
BT_Cry70Aa1	Rank4	Orders	Diptera
BT_Cry70Ba1	Rank4	Orders	Diptera
BT_Cry71Aa1	Rank4	Orders	Lepidoptera
BT_Cry72Aa1	Rank4	Orders	Lepidoptera
BT_Cry73Ba1	Rank4	Orders	Hemiptera
BT_Cry7Aa1	Rank4	Orders	Coleoptera
BT_Cry7Ab2	Rank4	Orders	Coleoptera
BT_Cry7Ab3	Rank4	Orders	Coleoptera
BT_Cry7Ab4	Rank4	Orders	Coleoptera
BT_Cry7Ab9	Rank4	Orders	Coleoptera
BT_Cry7Ba1	Rank4	Orders	Lepidoptera
BT_Cry7Ca1	Rank4	Orders	Orthoptera
BT_Cry7Gb1	Rank4	Orders	Coleoptera
BT_Cry8Aa1	Rank4	Orders	Coleoptera
BT_Cry8Ab1	Rank4	Orders	Coleoptera
BT_Cry8Ba1	Rank4	Orders	Coleoptera
BT_Cry8Bb1	Rank4	Orders	Coleoptera
BT_Cry8Bc1	Rank4	Orders	Coleoptera
BT_Cry8Ca1	Rank4	Orders	Coleoptera
BT_Cry8Ca2	Rank4	Orders	Coleoptera
BT_Cry8Da1	Rank4	Orders	Coleoptera
BT_Cry8Db1	Rank4	Orders	Coleoptera
BT_Cry8Ea1	Rank4	Orders	Coleoptera
BT_Cry8Ea2	Rank4	Orders	Coleoptera
BT_Cry8Ga1	Rank4	Orders	Coleoptera
BT_Cry8Ha1	Rank4	Orders	Coleoptera
BT_Cry8Hb1	Rank4	Orders	Coleoptera
BT_Cry8Ia1	Rank4	Orders	Coleoptera
BT_Cry8Ka1	Rank4	Orders	Coleoptera
BT_Cry8Ka3	Rank4	Orders	Coleoptera
BT_Cry8Kb1	Rank4	Orders	Coleoptera
BT_Cry8Na1	Rank4	Orders	Coleoptera
BT_Cry8Pa1	Rank4	Orders	Coleoptera
BT_Cry8Pa3	Rank4	Orders	Coleoptera
BT_Cry8Qa1	Rank4	Orders	Lepidoptera
BT_Cry8Qa1	Rank4	Orders	Coleoptera
BT_Cry8Sa1	Rank4	Orders	Coleoptera
BT_Cry9Aa1	Rank4	Orders	Lepidoptera
BT_Cry9Aa2	Rank4	Orders	Lepidoptera
BT_Cry9Bb1	Rank4	Orders	Lepidoptera
BT_Cry9Ca1	Rank4	Orders	Lepidoptera
BT_Cry9Cb1	Rank4	Orders	Lepidoptera
BT_Cry9Da1	Rank4	Orders	Lepidoptera
BT_Cry9Db1	Rank4	Orders	Lepidoptera
BT_Cry9Ea10	Rank4	Orders	Lepidoptera
BT_Cry9Eb1	Rank4	Orders	Lepidoptera
BT_Cry9Eb2	Rank4	Orders	Lepidoptera
BT_Cry9Ec1	Rank4	Orders	Lepidoptera
BT_Cry9Ed1	Rank4	Orders	Lepidoptera
BT_Cry9Ee1	Rank4	Orders	Lepidoptera
BT_Cry9Ee2	Rank4	Orders	Lepidoptera
BT_Cry9Ga1	Rank4	Orders	Lepidoptera
BT_CryAb2	Rank4	Orders	Lepidoptera
BT_Cy1Hc1	Rank4	Orders	Lepidoptera
NOV_Cry10Aa1_94.4_ABW89736.1	Rank4	Orders	Diptera
NOV_Cry10Aa1_97.0_ABW89733.1	Rank4	Orders	Diptera
