Strain	Num	Rank
UFT038	3	Rank4
UFT038	3	Rank3
ISP2954	3	Rank4
ISP2954	3	Rank3
QB15	3	Rank4
QB15	3	Rank3
AFS061780	3	Rank4
AFS061780	3	Rank3
NT06	3	Rank4
NT06	3	Rank3
4N	3	Rank4
4N	3	Rank3
AFS031473	3	Rank4
AFS031473	3	Rank3
AK47	3	Rank4
AK47	3	Rank3
TK1	3	Rank4
TK1	3	Rank3
18_218	3	Rank4
18_218	3	Rank3
TB08	3	Rank4
TB08	3	Rank3
TH19	1	Rank4
TH19	1	Rank3
SY49-1	4	Rank4
SY49-1	3	Rank3
4D2	3	Rank4
4D2	3	Rank3
MPU B9	2	Rank4
MPU B9	2	Rank3
PT02	3	Rank4
PT02	3	Rank3
Staal2-3	3	Rank4
Staal2-3	3	Rank3
7.1o	4	Rank4
7.1o	4	Rank3
BR145	3	Rank4
BR145	3	Rank3
BP865	3	Rank4
BP865	3	Rank3
MOD1_Bc30	3	Rank4
MOD1_Bc30	3	Rank3
AFS034084	3	Rank4
AFS034084	3	Rank3
CH_722	3	Rank4
CH_722	3	Rank3
DBG15	3	Rank4
DBG15	3	Rank3
CH_698	3	Rank4
CH_698	3	Rank3
AFS004414	3	Rank4
AFS004414	3	Rank3
DE0161	3	Rank4
DE0161	3	Rank3
CH_81	3	Rank4
CH_81	3	Rank3
CH_684	3	Rank4
CH_684	3	Rank3
BGSC 4J1	4	Rank4
BGSC 4J1	4	Rank3
AFS018409	3	Rank4
AFS018409	3	Rank3
4D5	3	Rank4
4D5	3	Rank3
MOD1_Bc235	3	Rank4
MOD1_Bc235	3	Rank3
18_216	3	Rank4
18_216	3	Rank3
IE-1	1	Rank4
IE-1	1	Rank3
MOD1_Bc137	3	Rank4
MOD1_Bc137	3	Rank3
T414	3	Rank4
T414	3	Rank3
INTA Mo1-10	1	Rank4
INTA Mo1-10	1	Rank3
CH_69	3	Rank4
CH_69	3	Rank3
DE0589	3	Rank4
DE0589	3	Rank3
AFS043930	3	Rank4
AFS043930	3	Rank3
T07030	6	Rank4
T07030	6	Rank3
X023PN	3	Rank4
X023PN	3	Rank3
18_421	3	Rank4
18_421	3	Rank3
HuB13-1	3	Rank4
HuB13-1	3	Rank3
Staal7-4	3	Rank4
Staal7-4	3	Rank3
18_614	3	Rank4
18_614	3	Rank3
INTA H4-3	1	Rank4
INTA H4-3	1	Rank3
LM1212	4	Rank4
LM1212	4	Rank3
LM1212-DB	2	Rank4
LM1212-DB	2	Rank3
LM1212-W3	3	Rank4
LM1212-W3	3	Rank3
W015	1	Rank4
W015	1	Rank3
GS8	1	Rank4
GS8	1	Rank3
C1Ia148	1	Rank4
C1Ia148	1	Rank3
NT0423	1	Rank4
NT0423	1	Rank3
xpz-46	1	Rank4
xpz-46	1	Rank3
you2D-3	1	Rank4
you2D-3	1	Rank3
ST7	2	Rank4
ST7	2	Rank3
CMCC P0021	2	Rank4
CMCC P0021	2	Rank3
CMCC P0011	2	Rank4
CMCC P0011	2	Rank3
SY62.1A	1	Rank4
SY62.1A	1	Rank3
BGSC 4BS1	1	Rank4
BGSC 4BS1	1	Rank3
BBT2-5	1	Rank4
BBT2-5	1	Rank3
G25-41	1	Rank4
G25-41	1	Rank3
AFS063736	2	Rank4
AFS063736	2	Rank3
G25-50	1	Rank4
G25-50	1	Rank3
AFS022504	3	Rank4
AFS022504	3	Rank3
GS3	1	Rank4
GS3	1	Rank3
GS72	1	Rank4
GS72	1	Rank3
ARP166	1	Rank4
ARP166	1	Rank3
BP3	1	Rank4
BP3	1	Rank3
ST8	3	Rank4
ST8	3	Rank3
BtPGI245	1	Rank4
BtPGI245	1	Rank3
C2Ab86	1	Rank4
C2Ab86	1	Rank3
BT MX9	1	Rank4
BT MX9	1	Rank3
BT-MX2	1	Rank4
BT-MX2	1	Rank3
ARP110	1	Rank4
ARP110	1	Rank3
Bt173	2	Rank4
Bt173	2	Rank3
ARP114	1	Rank4
ARP114	1	Rank3
BLB1	2	Rank4
BLB1	2	Rank3
CL91	2	Rank4
CL91	1	Rank3
B0195	2	Rank4
B0195	2	Rank3
84-HS-1-11	1	Rank4
84-HS-1-11	1	Rank3
K1	3	Rank4
K1	3	Rank3
HD-550	1	Rank4
HD-550	1	Rank3
YM-03	1	Rank4
YM-03	1	Rank3
fukuokaensis	1	Rank4
fukuokaensis	1	Rank3
ARP102	1	Rank4
ARP102	1	Rank3
WB10	1	Rank4
WB10	1	Rank3
ywc5-4	2	Rank4
ywc5-4	2	Rank3
BTC007	1	Rank4
BTC007	1	Rank3
SK-758	1	Rank4
SK-758	1	Rank3
DL	1	Rank4
DL	1	Rank3
EG6346	1	Rank4
EG6346	1	Rank3
B.t-235	1	Rank4
B.t-235	1	Rank3
ARP269	1	Rank4
ARP269	1	Rank3
BT LG5	1	Rank4
BT LG5	1	Rank3
BGSC 4AU1	2	Rank4
BGSC 4AU1	2	Rank3
WF-H-72	1	Rank4
WF-H-72	1	Rank3
BGSC 4CC1	2	Rank4
BGSC 4CC1	1	Rank3
SC-51	1	Rank4
SC-51	1	Rank3
INTA Fr7-4	4	Rank4
INTA Fr7-4	3	Rank3
BGSC 4BF1	3	Rank4
BGSC 4BF1	3	Rank3
MSS2.4	1	Rank4
MSS2.4	1	Rank3
EG4961	1	Rank4
EG4961	1	Rank3
ARP259	1	Rank4
ARP259	1	Rank3
ARP103	1	Rank4
ARP103	1	Rank3
IPPBIOTSUC-C9F1	2	Rank4
IPPBIOTSUC-C9F1	2	Rank3
AHG6	1	Rank4
AHG6	1	Rank3
L-27	1	Rank4
L-27	1	Rank3
QZL1-2	1	Rank4
QZL1-2	1	Rank3
ARP252	1	Rank4
ARP252	1	Rank3
SC5(D4)	1	Rank4
SC5(D4)	1	Rank3
B-JJX	1	Rank4
B-JJX	1	Rank3
Bt PP61	1	Rank4
Bt PP61	1	Rank3
ARP012	1	Rank4
ARP012	1	Rank3
H3	1	Rank4
H3	1	Rank3
BGSC 4BX1	1	Rank4
BGSC 4BX1	1	Rank3
ARP068	1	Rank4
ARP068	1	Rank3
Sbt006	1	Rank4
Sbt006	1	Rank3
SK-711	1	Rank4
SK-711	1	Rank3
BtMC282	1	Rank4
BtMC282	1	Rank3
R36	1	Rank4
R36	1	Rank3
61	1	Rank4
61	1	Rank3
ARP188	1	Rank4
ARP188	1	Rank3
FPT-2	1	Rank4
FPT-2	1	Rank3
EG5092	1	Rank4
EG5092	1	Rank3
ARP158	1	Rank4
ARP158	1	Rank3
ZK1	1	Rank4
ZK1	1	Rank3
LTS-209	1	Rank4
LTS-209	1	Rank3
HD07	1	Rank4
HD07	1	Rank3
SK-793	1	Rank4
SK-793	1	Rank3
S725	1	Rank4
S725	1	Rank3
FB-32	1	Rank4
FB-32	1	Rank3
ARP131	1	Rank4
ARP131	1	Rank3
K34	1	Rank4
K34	1	Rank3
C18	1	Rank4
C18	1	Rank3
T 20	1	Rank4
T 20	1	Rank3
ARP132	1	Rank4
ARP132	1	Rank3
SK-798	1	Rank4
SK-798	1	Rank3
INA67	2	Rank4
INA67	1	Rank3
ARP192	1	Rank4
ARP192	1	Rank3
morrisoni BF190	3	Rank4
morrisoni BF190	2	Rank3
BfR-BA-01393	2	Rank4
BfR-BA-01393	2	Rank3
BfR-BA-01321	1	Rank4
BfR-BA-01321	1	Rank3
TS3	1	Rank4
TS3	1	Rank3
wu2B-6	1	Rank4
wu2B-6	1	Rank3
GWS7	1	Rank4
GWS7	1	Rank3
GW6	1	Rank4
GW6	1	Rank3
WZ-9	1	Rank4
WZ-9	1	Rank3
tolworthi 43F	1	Rank4
tolworthi 43F	1	Rank3
E-1A	1	Rank4
E-1A	1	Rank3
LP1G	1	Rank4
LP1G	1	Rank3
H1	1	Rank4
H1	1	Rank3
F14-1	1	Rank4
F14-1	1	Rank3
LB-R-78	1	Rank4
LB-R-78	1	Rank3
BtPGSI208	1	Rank4
BtPGSI208	1	Rank3
M15	1	Rank4
M15	1	Rank3
zjfc85	1	Rank4
zjfc85	1	Rank3
BRL14	1	Rank4
BRL14	1	Rank3
ARP001	1	Rank4
ARP001	1	Rank3
ARP220	1	Rank4
ARP220	1	Rank3
PS81A2	1	Rank4
PS81A2	1	Rank3
AFS018331	1	Rank4
AFS018331	1	Rank3
AFS031210	1	Rank4
AFS031210	1	Rank3
PS86Q3	2	Rank4
PS86Q3	2	Rank3
ARP179	1	Rank4
ARP179	1	Rank3
AFS026137	1	Rank4
AFS026137	1	Rank3
79-25	1	Rank4
79-25	1	Rank3
ARP191	1	Rank4
ARP191	1	Rank3
BRI-225	1	Rank4
BRI-225	1	Rank3
B.t-227	1	Rank4
B.t-227	1	Rank3
BLB250	1	Rank4
BLB250	1	Rank3
4I5	2	Rank4
4I5	2	Rank3
HER1410	1	Rank4
HER1410	1	Rank3
IBL01677	2	Rank4
IBL01677	2	Rank3
HD-110	2	Rank4
HD-110	2	Rank3
B13	1	Rank4
B13	1	Rank3
HD-9	3	Rank4
HD-9	3	Rank3
QCM(T1)	1	Rank4
QCM(T1)	1	Rank3
mo3-E7	1	Rank4
mo3-E7	1	Rank3
C1Ac118	1	Rank4
C1Ac118	1	Rank3
BRI-103	1	Rank4
BRI-103	1	Rank3
xpz-5	1	Rank4
xpz-5	1	Rank3
J8	1	Rank4
J8	1	Rank3
c002	1	Rank4
c002	1	Rank3
SP41	3	Rank4
SP41	3	Rank3
B3	1	Rank4
B3	1	Rank3
SBSBT-1	1	Rank4
SBSBT-1	1	Rank3
BRI-326	1	Rank4
BRI-326	1	Rank3
Lip	1	Rank4
Lip	1	Rank3
GS36	1	Rank4
GS36	1	Rank3
HW-11	1	Rank4
HW-11	1	Rank3
X23	1	Rank4
X23	1	Rank3
mo3-D8	1	Rank4
mo3-D8	1	Rank3
EG5144	1	Rank4
EG5144	1	Rank3
ARP239	1	Rank4
ARP239	1	Rank3
BLB32	1	Rank4
BLB32	1	Rank3
ARP146	1	Rank4
ARP146	1	Rank3
FCD114	2	Rank4
FCD114	2	Rank3
bt145	1	Rank4
bt145	1	Rank3
N32-2-2	1	Rank4
N32-2-2	1	Rank3
LS-R-30	1	Rank4
LS-R-30	1	Rank3
CIB 163-131	5	Rank4
CIB 163-131	3	Rank3
wu2G-11	1	Rank4
wu2G-11	1	Rank3
g9	1	Rank4
g9	1	Rank3
S2096-2	1	Rank4
S2096-2	1	Rank3
JC291	1	Rank4
JC291	1	Rank3
VKPM B-1161	2	Rank4
VKPM B-1161	1	Rank3
VKPM B-1166	1	Rank4
VKPM B-1166	1	Rank3
IHBB 10380	1	Rank4
IHBB 10380	1	Rank3
SSy141-c	2	Rank4
SSy141-c	2	Rank3
YB36-3	1	Rank4
YB36-3	1	Rank3
lyA	1	Rank4
lyA	1	Rank3
I622	1	Rank4
I622	1	Rank3
N17-37	1	Rank4
N17-37	1	Rank3
QG-121	1	Rank4
QG-121	1	Rank3
xl6-7	1	Rank4
xl6-7	1	Rank3
HD37	1	Rank4
HD37	1	Rank3
PS50C(a)	1	Rank4
PS50C(a)	1	Rank3
C81	1	Rank4
C81	1	Rank3
you2F-3	1	Rank4
you2F-3	1	Rank3
AFS043063	1	Rank4
AFS043063	1	Rank3
AFS059517	1	Rank4
AFS059517	1	Rank3
ZQ-89	1	Rank4
ZQ-89	1	Rank3
B0462	1	Rank4
B0462	1	Rank3
HYD-3	1	Rank4
HYD-3	1	Rank3
T543	1	Rank4
T543	1	Rank3
Bun1-14	4	Rank4
Bun1-14	4	Rank3
AFS077661	1	Rank4
AFS077661	1	Rank3
11MN1	1	Rank4
11MN1	1	Rank3
AFS097514	1	Rank4
AFS097514	1	Rank3
AFS099505	1	Rank4
AFS099505	1	Rank3
BGSC 4E3	1	Rank4
BGSC 4E3	1	Rank3
T04001	1	Rank4
T04001	1	Rank3
JSc1	1	Rank4
JSc1	1	Rank3
HD-771	1	Rank4
HD-771	1	Rank3
T84A1	1	Rank4
T84A1	1	Rank3
shanghai 1 (S-1)	1	Rank4
shanghai 1 (S-1)	1	Rank3
ARP026	1	Rank4
ARP026	1	Rank3
ARP212	1	Rank4
ARP212	1	Rank3
C2Ab118	1	Rank4
C2Ab118	1	Rank3
BGSC 4AJ1	2	Rank4
BGSC 4AJ1	1	Rank3
BGSC 4AC1	1	Rank4
BGSC 4AC1	1	Rank3
T15	1	Rank4
T15	1	Rank3
AB88	1	Rank4
AB88	1	Rank3
C006	1	Rank4
C006	1	Rank3
HYW-8	1	Rank4
HYW-8	1	Rank3
LTS-38	1	Rank4
LTS-38	1	Rank3
F4	2	Rank4
F4	2	Rank3
pms45-2	1	Rank4
pms45-2	1	Rank3
2124	2	Rank4
2124	2	Rank3
261-1	1	Rank4
261-1	1	Rank3
22-4	1	Rank4
22-4	1	Rank3
T536	1	Rank4
T536	1	Rank3
BRL34	1	Rank4
BRL34	1	Rank3
T527	1	Rank4
T527	1	Rank3
T32	1	Rank4
T32	1	Rank3
T405	1	Rank4
T405	1	Rank3
T532	1	Rank4
T532	1	Rank3
MOD1_Bc231	2	Rank4
MOD1_Bc231	2	Rank3
B-DLL	2	Rank4
B-DLL	2	Rank3
HD867	2	Rank4
HD867	1	Rank3
BGSC 4AF1	1	Rank4
BGSC 4AF1	1	Rank3
Sbt054	1	Rank4
Sbt054	1	Rank3
ARP229	1	Rank4
ARP229	1	Rank3
PS81F	1	Rank4
PS81F	1	Rank3
BGSC 4M3	1	Rank4
BGSC 4M3	1	Rank3
4M4	1	Rank4
4M4	1	Rank3
4M1	1	Rank4
4M1	1	Rank3
4M2	1	Rank4
4M2	1	Rank3
BfR-BA-01318	1	Rank4
BfR-BA-01318	1	Rank3
BRC-XQ12	1	Rank4
BRC-XQ12	1	Rank3
YBT-032	1	Rank4
YBT-032	1	Rank3
G25-18	1	Rank4
G25-18	1	Rank3
Btc005	1	Rank4
Btc005	1	Rank3
BfR-BA-01348	1	Rank4
BfR-BA-01348	1	Rank3
FDAARGOS_801	1	Rank4
FDAARGOS_801	1	Rank3
S93	1	Rank4
S93	1	Rank3
SP-01-41	1	Rank4
SP-01-41	1	Rank3
LY-99	1	Rank4
LY-99	1	Rank3
HD-68	1	Rank4
HD-68	1	Rank3
BR30	2	Rank4
BR30	2	Rank3
AC-11	1	Rank4
AC-11	1	Rank3
wu1E-4	1	Rank4
wu1E-4	1	Rank3
ARP227	1	Rank4
ARP227	1	Rank3
JHCC4835	1	Rank4
JHCC4835	1	Rank3
BTH-13	1	Rank4
BTH-13	1	Rank3
Tm44-1B	1	Rank4
Tm44-1B	1	Rank3
MHB11.3	1	Rank4
MHB11.3	1	Rank3
AFS030961	1	Rank4
AFS030961	1	Rank3
AFS047495	1	Rank4
AFS047495	1	Rank3
AFS073530	1	Rank4
AFS073530	1	Rank3
7-29	1	Rank4
7-29	1	Rank3
Tm37-6	1	Rank4
Tm37-6	1	Rank3
FBG-1	1	Rank4
FBG-1	1	Rank3
67-3	1	Rank4
67-3	1	Rank3
Tm41-4	1	Rank4
Tm41-4	1	Rank3
886	1	Rank4
886	1	Rank3
T03C001	1	Rank4
T03C001	1	Rank3
BJH406	1	Rank4
BJH406	1	Rank3
BTC002	1	Rank4
BTC002	1	Rank3
ARP009	1	Rank4
ARP009	1	Rank3
VKPM B-3276	1	Rank4
VKPM B-3276	1	Rank3
INTA Mo4-4	1	Rank4
INTA Mo4-4	1	Rank3
Bt22	1	Rank4
Bt22	1	Rank3
4K5	1	Rank4
4K5	1	Rank3
BGSC 4AA1	2	Rank4
BGSC 4AA1	2	Rank3
BN7-5	1	Rank4
BN7-5	1	Rank3
you1D-9	1	Rank4
you1D-9	1	Rank3
SBS Bt 48	1	Rank4
SBS Bt 48	1	Rank3
4A	1	Rank4
4A	1	Rank3
FZ-2	1	Rank4
FZ-2	1	Rank3
E05-20a	1	Rank4
E05-20a	1	Rank3
Bt87	2	Rank4
Bt87	2	Rank3
QL75-2	1	Rank4
QL75-2	1	Rank3
CY29	1	Rank4
CY29	1	Rank3
BJH500	1	Rank4
BJH500	1	Rank3
ARP124	1	Rank4
ARP124	1	Rank3
Bt.B2.1KSM	1	Rank4
Bt.B2.1KSM	1	Rank3
02	1	Rank4
02	1	Rank3
60.5	1	Rank4
60.5	1	Rank3
4Q2-72	1	Rank4
4Q2-72	1	Rank3
LTS-290	1	Rank4
LTS-290	1	Rank3
jegathesan 367	5	Rank4
jegathesan 367	5	Rank3
BtI109P	1	Rank4
BtI109P	1	Rank3
92-KU-149-8	1	Rank4
92-KU-149-8	1	Rank3
HD868	4	Rank4
HD868	4	Rank3
higo	4	Rank4
higo	4	Rank3
CH18	2	Rank4
CH18	2	Rank3
BtS02072BG	1	Rank4
BtS02072BG	1	Rank3
BtS02739C	2	Rank4
BtS02739C	2	Rank3
nags3	1	Rank4
nags3	1	Rank3
1218	2	Rank4
1218	2	Rank3
M2776	1	Rank4
M2776	1	Rank3
VKPM B-6711	1	Rank4
VKPM B-6711	1	Rank3
BTS02069AA	1	Rank4
BTS02069AA	1	Rank3
PS167P	1	Rank4
PS167P	1	Rank3
Bt roskildiensis	1	Rank4
Bt roskildiensis	1	Rank3
SKW01-10.2-06	1	Rank4
SKW01-10.2-06	1	Rank3
Semadara	2	Rank4
Semadara	2	Rank3
CAA890	1	Rank4
CAA890	1	Rank3
HD567-61-9	1	Rank4
HD567-61-9	1	Rank3
LBIT-1189	1	Rank4
LBIT-1189	1	Rank3
LBIT-113	1	Rank4
LBIT-113	1	Rank3
LBIT-597	1	Rank4
LBIT-597	1	Rank3
LBIT-976	1	Rank4
LBIT-976	1	Rank3
LBIT-979	1	Rank4
LBIT-979	1	Rank3
LBIT-980	1	Rank4
LBIT-980	1	Rank3
PS17	2	Rank4
PS17	2	Rank3
DP7-F11	1	Rank4
DP7-F11	1	Rank3
S811	1	Rank4
S811	1	Rank3
BTS02618A	1	Rank4
BTS02618A	1	Rank3
yunnanensis	1	Rank4
yunnanensis	1	Rank3
dakota	2	Rank4
dakota	2	Rank3
NRRL B-21941	1	Rank4
NRRL B-21941	1	Rank3
NRRL B-21921	1	Rank4
NRRL B-21921	1	Rank3
11-76	1	Rank4
11-76	1	Rank3
mogi K4	5	Rank4
mogi K4	5	Rank3
kunthalaRX28	1	Rank4
kunthalaRX28	1	Rank3
kunthalaRX27	1	Rank4
kunthalaRX27	1	Rank3
A32	1	Rank4
A32	1	Rank3
ATX14875	3	Rank4
ATX14875	3	Rank3
BTS01099E	2	Rank4
BTS01099E	2	Rank3
BTS02761A	1	Rank4
BTS02761A	1	Rank3
ATX 13026	11	Rank4
ATX 13026	11	Rank3
pMP36	1	Rank4
pMP36	1	Rank3
native Chilean Bt strain	1	Rank4
native Chilean Bt strain	1	Rank3
BtC008	1	Rank4
BtC008	1	Rank3
IC1	1	Rank4
IC1	1	Rank3
Ly30	2	Rank4
Ly30	2	Rank3
native Taiwanese Bt strain	1	Rank4
native Taiwanese Bt strain	1	Rank3
SK-729	1	Rank4
SK-729	1	Rank3
HD-588	1	Rank4
HD-588	1	Rank3
SK-783	1	Rank4
SK-783	1	Rank3
SK-958	1	Rank4
SK-958	1	Rank3
PS81RR1	1	Rank4
PS81RR1	1	Rank3
BT8	1	Rank4
BT8	1	Rank3
UV17	1	Rank4
UV17	1	Rank3
834	1	Rank4
834	1	Rank3
NRRL B-21940	1	Rank4
NRRL B-21940	1	Rank3
LBIT-1217	1	Rank4
LBIT-1217	1	Rank3
Bt012	1	Rank4
Bt012	1	Rank3
S1451	1	Rank4
S1451	1	Rank3
BP465	1	Rank4
BP465	1	Rank3
BF-4	1	Rank4
BF-4	1	Rank3
NRRL B-21934	1	Rank4
NRRL B-21934	1	Rank3
NRRL B-21943	1	Rank4
NRRL B-21943	1	Rank3
LLB6	2	Rank4
LLB6	2	Rank3
CMBL-BT3	1	Rank4
CMBL-BT3	1	Rank3
NRRL B-21944	1	Rank4
NRRL B-21944	1	Rank3
CMBL-BT1	2	Rank4
CMBL-BT1	2	Rank3
CMBL-BT2	2	Rank4
CMBL-BT2	2	Rank3
Mm2	1	Rank4
Mm2	1	Rank3
UTD-001	1	Rank4
UTD-001	1	Rank3
popilliae Hime	1	Rank4
popilliae Hime	1	Rank3
BUPM97	1	Rank4
BUPM97	1	Rank3
L366	1	Rank4
L366	1	Rank3
HBF-1	1	Rank4
HBF-1	1	Rank3
BGSN1	1	Rank4
BGSN1	1	Rank3
H23	1	Rank4
H23	1	Rank3
Bt11	1	Rank4
Bt11	1	Rank3
kunthalaRX24	1	Rank4
kunthalaRX24	1	Rank3
S907	1	Rank4
S907	1	Rank3
NEAU 161	1	Rank4
NEAU 161	1	Rank3
SY-11	1	Rank4
SY-11	1	Rank3
ATXl 5723	1	Rank4
ATXl 5723	1	Rank3
G10-01A	1	Rank4
G10-01A	1	Rank3
PS33F2	1	Rank4
PS33F2	1	Rank3
PS63B	1	Rank4
PS63B	1	Rank3
