Strain	Num	Rank
G25-93	11	Rank4
G25-93	10	Rank3
BGSC 4O1	7	Rank4
BGSC 4O1	7	Rank3
L-7601	3	Rank4
L-7601	3	Rank3
S101	1	Rank4
S101	1	Rank3
BGSC 4BC1	2	Rank4
BGSC 4BC1	2	Rank3
SCG04-02	3	Rank4
SCG04-02	2	Rank3
BGSC 4BG1	2	Rank4
BGSC 4BG1	2	Rank3
BGSC 4BB1	2	Rank4
BGSC 4BB1	2	Rank3
BGSC 4AL1	2	Rank4
BGSC 4AL1	2	Rank3
ARP112	1	Rank4
ARP112	1	Rank3
BGSC 4BT1	2	Rank4
BGSC 4BT1	2	Rank3
AFS005140	8	Rank4
AFS005140	8	Rank3
AFS013213	8	Rank4
AFS013213	8	Rank3
AFS088016	8	Rank4
AFS088016	8	Rank3
Bt185	5	Rank4
Bt185	4	Rank3
78-2	4	Rank4
78-2	4	Rank3
QZL38	4	Rank4
QZL38	4	Rank3
3-1-a	1	Rank4
3-1-a	1	Rank3
LSZ9408	2	Rank4
LSZ9408	2	Rank3
xl6-1	1	Rank4
xl6-1	1	Rank3
ARP242	1	Rank4
ARP242	1	Rank3
MC28	9	Rank4
MC28	8	Rank3
V4	3	Rank4
V4	3	Rank3
ARP218	1	Rank4
ARP218	1	Rank3
DAB-Bt2	3	Rank4
DAB-Bt2	3	Rank3
HD511	1	Rank4
HD511	1	Rank3
AFS034708	3	Rank4
AFS034708	3	Rank3
ARP095	1	Rank4
ARP095	1	Rank3
NBIN-866	13	Rank4
NBIN-866	13	Rank3
HD-525	14	Rank4
HD-525	12	Rank3
BGSC 4G1	12	Rank4
BGSC 4G1	12	Rank3
BGSC 4G4	11	Rank4
BGSC 4G4	11	Rank3
BGSC 4CB1	14	Rank4
BGSC 4CB1	12	Rank3
4G3	5	Rank4
4G3	5	Rank3
BGSC 4AE1	14	Rank4
BGSC 4AE1	12	Rank3
4G2	6	Rank4
4G2	6	Rank3
AFS045441	1	Rank4
AFS045441	1	Rank3
AFS098022	2	Rank4
AFS098022	2	Rank3
ly30	4	Rank4
ly30	4	Rank3
SVBS18-01	3	Rank4
SVBS18-01	3	Rank3
AFS027250	1	Rank4
AFS027250	1	Rank3
BR58	3	Rank4
BR58	3	Rank3
AM65-52	6	Rank4
AM65-52	4	Rank3
HD-789	4	Rank4
HD-789	4	Rank3
T0139	4	Rank4
T0139	4	Rank3
T0131	4	Rank4
T0131	4	Rank3
T0137	4	Rank4
T0137	4	Rank3
JW-1	5	Rank4
JW-1	4	Rank3
BT-59	4	Rank4
BT-59	4	Rank3
PBT602	1	Rank4
PBT602	1	Rank3
KNU-26	4	Rank4
KNU-26	4	Rank3
1.24	5	Rank4
1.24	4	Rank3
FDAARGOS_796	4	Rank4
FDAARGOS_796	4	Rank3
BMP144	4	Rank4
BMP144	4	Rank3
IBL00427	4	Rank4
IBL00427	4	Rank3
Bti	4	Rank4
Bti	4	Rank3
AK8	4	Rank4
AK8	4	Rank3
BGSC 4AX1	4	Rank4
BGSC 4AX1	4	Rank3
4S3	2	Rank4
4S3	2	Rank3
BN23-5	5	Rank4
BN23-5	5	Rank3
EG 5847	2	Rank4
EG 5847	2	Rank3
AFS015413	2	Rank4
AFS015413	2	Rank3
BGSC 4BD1	1	Rank4
BGSC 4BD1	1	Rank3
NBIC380	1	Rank4
NBIC380	1	Rank3
DP1019	3	Rank4
DP1019	2	Rank3
DB27	3	Rank4
DB27	3	Rank3
G25-87	2	Rank4
G25-87	2	Rank3
G25-91	1	Rank4
G25-91	1	Rank3
G25-78	2	Rank4
G25-78	2	Rank3
ARP076	1	Rank4
ARP076	1	Rank3
QZL20-1	1	Rank4
QZL20-1	1	Rank3
HD29	10	Rank4
HD29	10	Rank3
ARP140	1	Rank4
ARP140	1	Rank3
HD521	5	Rank4
HD521	3	Rank3
BTIPP003	2	Rank4
BTIPP003	2	Rank3
LH-2	1	Rank4
LH-2	1	Rank3
NEAU B-X5	2	Rank4
NEAU B-X5	2	Rank3
LBIT-418	2	Rank4
LBIT-418	2	Rank3
4F4	5	Rank4
4F4	5	Rank3
BGSC 4J5	4	Rank4
BGSC 4J5	4	Rank3
MOD1_Bc21	1	Rank4
MOD1_Bc21	1	Rank3
HD5	4	Rank4
HD5	4	Rank3
4F1	5	Rank4
4F1	5	Rank3
4F2	1	Rank4
4F2	1	Rank3
HD395	2	Rank4
HD395	2	Rank3
T03B001	6	Rank4
T03B001	5	Rank3
146-158-01	2	Rank4
146-158-01	2	Rank3
Q-12	1	Rank4
Q-12	1	Rank3
CYZ-4	1	Rank4
CYZ-4	1	Rank3
ARP193	1	Rank4
ARP193	1	Rank3
SL39	1	Rank4
SL39	1	Rank3
AFS059039	8	Rank4
AFS059039	8	Rank3
AFS030866	7	Rank4
AFS030866	7	Rank3
FBG25	1	Rank4
FBG25	1	Rank3
PS81I	3	Rank4
PS81I	3	Rank3
Btc001	1	Rank4
Btc001	1	Rank3
87-29	1	Rank4
87-29	1	Rank3
WB2	1	Rank4
WB2	1	Rank3
PS9-D12	1	Rank4
PS9-D12	1	Rank3
ARP055	1	Rank4
ARP055	1	Rank3
SSy125-c	2	Rank4
SSy125-c	2	Rank3
SSy111-c	2	Rank4
SSy111-c	2	Rank3
YBT-1518	1	Rank4
YBT-1518	1	Rank3
G25-43	1	Rank4
G25-43	1	Rank3
BfR-BA-01356	2	Rank4
BfR-BA-01356	2	Rank3
Bm59-2	2	Rank4
Bm59-2	2	Rank3
IEBC-T63 001	1	Rank4
IEBC-T63 001	1	Rank3
B12	1	Rank4
B12	1	Rank3
SSy77	2	Rank4
SSy77	2	Rank3
ARP256	1	Rank4
ARP256	1	Rank3
ARP021	1	Rank4
ARP021	1	Rank3
QBL-27	2	Rank4
QBL-27	2	Rank3
TOL651	1	Rank4
TOL651	1	Rank3
K3	2	Rank4
K3	2	Rank3
T25	1	Rank4
T25	1	Rank3
ARP135	1	Rank4
ARP135	1	Rank3
HD-1-02	1	Rank4
HD-1-02	1	Rank3
SK700	3	Rank4
SK700	3	Rank3
AFS038158	1	Rank4
AFS038158	1	Rank3
mo3-D10	1	Rank4
mo3-D10	1	Rank3
DAB-Bt3	4	Rank4
DAB-Bt3	4	Rank3
Q52-7	1	Rank4
Q52-7	1	Rank3
DAB-Bt5	4	Rank4
DAB-Bt5	4	Rank3
BGSC 4CE1	5	Rank4
BGSC 4CE1	5	Rank3
2260	1	Rank4
2260	1	Rank3
HQ122	2	Rank4
HQ122	1	Rank3
HTS-S-38	2	Rank4
HTS-S-38	2	Rank3
YC-10	5	Rank4
YC-10	5	Rank3
G25-96	5	Rank4
G25-96	5	Rank3
IBL03111	5	Rank4
IBL03111	5	Rank3
IBL00503	5	Rank4
IBL00503	5	Rank3
IBL01259	5	Rank4
IBL01259	5	Rank3
IBL01313	5	Rank4
IBL01313	5	Rank3
BNS3	3	Rank4
BNS3	3	Rank3
HD 1i	6	Rank4
HD 1i	6	Rank3
x023	4	Rank4
x023	4	Rank3
PS9-E2	1	Rank4
PS9-E2	1	Rank3
ABTS-351	6	Rank4
ABTS-351	5	Rank3
BMG1.7	5	Rank4
BMG1.7	5	Rank3
BGSC 4L3	5	Rank4
BGSC 4L3	5	Rank3
D1	1	Rank4
D1	1	Rank3
SA11	4	Rank4
SA11	4	Rank3
HD-1	15	Rank4
HD-1	7	Rank3
96-OK-85-24	3	Rank4
96-OK-85-24	3	Rank3
BRC-ZYR2	1	Rank4
BRC-ZYR2	1	Rank3
Bts	2	Rank4
Bts	2	Rank3
BRI-144	2	Rank4
BRI-144	2	Rank3
C1Ac86	1	Rank4
C1Ac86	1	Rank3
Bt_IIHR MLW	1	Rank4
Bt_IIHR MLW	1	Rank3
Sbt030	2	Rank4
Sbt030	2	Rank3
QCL-1	1	Rank4
QCL-1	1	Rank3
ARP260	1	Rank4
ARP260	1	Rank3
SK-784	1	Rank4
SK-784	1	Rank3
NRD-12	3	Rank4
NRD-12	3	Rank3
ARP185	1	Rank4
ARP185	1	Rank3
AFS033477	1	Rank4
AFS033477	1	Rank3
DAB-Bt6	4	Rank4
DAB-Bt6	4	Rank3
G7-1	2	Rank4
G7-1	2	Rank3
HBF-18	3	Rank4
HBF-18	2	Rank3
BGSC 4BP1	3	Rank4
BGSC 4BP1	3	Rank3
ARP171	1	Rank4
ARP171	1	Rank3
Rpp39	1	Rank4
Rpp39	1	Rank3
Bt2-56	2	Rank4
Bt2-56	2	Rank3
FB	4	Rank4
FB	4	Rank3
Sbt009	4	Rank4
Sbt009	4	Rank3
FDAARGOS_800	3	Rank4
FDAARGOS_800	2	Rank3
HD 600	3	Rank4
HD 600	2	Rank3
LB52	1	Rank4
LB52	1	Rank3
ARP096	1	Rank4
ARP096	1	Rank3
A1462	3	Rank4
A1462	3	Rank3
DOR BT-1	1	Rank4
DOR BT-1	1	Rank3
xl6-4	1	Rank4
xl6-4	1	Rank3
BRC-ZQL3	1	Rank4
BRC-ZQL3	1	Rank3
ARP092	1	Rank4
ARP092	1	Rank3
MHY1.11	1	Rank4
MHY1.11	1	Rank3
2173	1	Rank4
2173	1	Rank3
DAB-Bt4	4	Rank4
DAB-Bt4	4	Rank3
MSS8.4	1	Rank4
MSS8.4	1	Rank3
YZ71	1	Rank4
YZ71	1	Rank3
YY1	1	Rank4
YY1	1	Rank3
NBRC 100599	1	Rank4
NBRC 100599	1	Rank3
BGSC 4AO1	6	Rank4
BGSC 4AO1	6	Rank3
4M5	3	Rank4
