Event	Tox_type	Dom_type	Host_type	Coeff	Coeff_type
44	Maj	domain3	Orders	0.2	Jaccard
44	Maj	domain3	Species	0.022727272727272728	Jaccard
45	Min	domain1	Orders	1.0	Simpson
45	Min	domain1	Species	0.75	Simpson
45	Min	domain1	Orders	0.6	Jaccard
45	Min	domain1	Species	0.06666666666666667	Jaccard
49	Min	domain3	Orders	1.0	Simpson
49	Min	domain3	Species	0.0	Simpson
49	Min	domain3	Orders	0.3333333333333333	Jaccard
49	Min	domain3	Species	0.0	Jaccard
49	Maj	domain3	Orders	1.0	Simpson
49	Maj	domain3	Species	1.0	Simpson
49	Maj	domain3	Orders	0.3333333333333333	Jaccard
49	Maj	domain3	Species	0.1	Jaccard
51	Min	domain3	Orders	1.0	Simpson
51	Min	domain3	Species	1.0	Simpson
51	Min	domain3	Orders	0.3333333333333333	Jaccard
51	Min	domain3	Species	0.15	Jaccard
51	Maj	domain3	Orders	1.0	Simpson
51	Maj	domain3	Species	0.75	Simpson
51	Maj	domain3	Orders	0.6666666666666666	Jaccard
51	Maj	domain3	Species	0.14285714285714285	Jaccard
52	Min	domain3	Orders	1.0	Simpson
52	Min	domain3	Species	1.0	Simpson
52	Min	domain3	Orders	1.0	Jaccard
52	Min	domain3	Species	0.9230769230769231	Jaccard
53	Maj	domain3	Orders	1.0	Simpson
53	Maj	domain3	Species	1.0	Simpson
53	Maj	domain3	Orders	0.2	Jaccard
53	Maj	domain3	Species	0.03787878787878788	Jaccard
56	Maj	domain1	Orders	1.0	Simpson
56	Maj	domain1	Species	1.0	Simpson
56	Maj	domain1	Orders	1.0	Jaccard
56	Maj	domain1	Species	0.15	Jaccard
62	Min	domain1	Orders	1.0	Simpson
62	Min	domain1	Species	1.0	Simpson
62	Min	domain1	Orders	1.0	Jaccard
62	Min	domain1	Species	1.0	Jaccard
62	Maj	domain1	Orders	1.0	Simpson
62	Maj	domain1	Species	1.0	Simpson
62	Maj	domain1	Orders	1.0	Jaccard
62	Maj	domain1	Species	1.0	Jaccard
71	Min	domain2	Orders	0.0	Simpson
71	Min	domain2	Species	0.0	Simpson
71	Min	domain2	Orders	0.0	Jaccard
71	Min	domain2	Species	0.0	Jaccard
71	Maj	domain2	Orders	1.0	Simpson
